epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0259,1.6249,1.89505,1.20647,0.88346,0.86772,0.94098,0.60391,1.16227,0.80256,1.03156,0.000332066,0.000332066,0.0671255
2,141.081,1.33486,0.92857,1.0606,0.69637,0.63827,0.64529,0.17836,2.39679,1.33373,1.55849,0.000665237,0.000665237,0.0341253
3,211.908,1.24991,0.81635,1.02975,0.87059,0.81395,0.88283,0.36925,1.71893,0.92548,1.19852,0.000997757,0.000997757,0.0011245
4,282.47,1.24299,0.7691,1.02808,0.93584,0.88809,0.94478,0.4943,1.4847,0.73562,1.13278,0.000997803,0.000997803,0.000997803
5,352.91,1.18922,0.70599,1.00891,0.70536,0.65597,0.6252,0.12824,2.93228,1.13868,1.87133,0.000996097,0.000996097,0.000996097
6,423.209,1.16179,0.67766,0.99324,0.85656,0.79407,0.83223,0.25822,2.47099,0.91718,1.59253,0.000993906,0.000993906,0.000993906
7,493.56,1.13793,0.65069,0.99187,0.95144,0.9119,0.95579,0.45876,1.63948,0.68222,1.15709,0.000991232,0.000991232,0.000991232
8,563.958,1.11582,0.62608,0.98304,0.90802,0.87256,0.89817,0.3489,2.0771,0.80124,1.36813,0.000988079,0.000988079,0.000988079
9,634.181,1.14687,0.628,0.98717,0.93527,0.9101,0.95025,0.38305,2.00853,0.72697,1.3108,0.000984449,0.000984449,0.000984449
10,704.443,1.09311,0.59638,0.97022,0.94767,0.92418,0.95559,0.4457,1.76141,0.65629,1.22341,0.000980345,0.000980345,0.000980345
11,774.693,1.07697,0.57448,0.96902,0.92691,0.86106,0.90515,0.3037,2.35059,0.83605,1.5242,0.000975773,0.000975773,0.000975773
12,844.993,1.09484,0.57824,0.97127,0.95318,0.90392,0.94468,0.41111,1.89986,0.71059,1.28448,0.000970736,0.000970736,0.000970736
13,915.263,1.0352,0.5586,0.95888,0.9414,0.91152,0.94405,0.36295,2.14197,0.7137,1.37817,0.000965239,0.000965239,0.000965239
14,985.474,1.03804,0.5587,0.95593,0.97714,0.9482,0.97782,0.59794,1.29223,0.51534,1.04176,0.000959289,0.000959289,0.000959289
15,1055.65,1.04634,0.55275,0.96056,0.91328,0.90424,0.91333,0.35971,2.13987,0.71354,1.39279,0.000952889,0.000952889,0.000952889
16,1125.82,0.99895,0.52981,0.94912,0.9189,0.87339,0.90496,0.29211,2.40883,0.78315,1.53405,0.000946048,0.000946048,0.000946048
17,1196.07,0.98915,0.52501,0.94359,0.90146,0.85707,0.87511,0.27657,2.47161,0.81248,1.58356,0.000938772,0.000938772,0.000938772
18,1266.29,0.99087,0.52071,0.94261,0.93026,0.9067,0.92581,0.31787,2.30143,0.72943,1.44969,0.000931067,0.000931067,0.000931067
19,1336.48,0.99224,0.51278,0.944,0.86785,0.80615,0.80513,0.22716,2.63152,0.84916,1.67833,0.000922942,0.000922942,0.000922942
20,1406.68,0.99373,0.50833,0.94352,0.96989,0.96164,0.98523,0.6278,1.2545,0.4837,1.01479,0.000914405,0.000914405,0.000914405
21,1476.87,0.9617,0.49495,0.93913,0.97356,0.94771,0.97883,0.5552,1.39304,0.51709,1.07746,0.000905463,0.000905463,0.000905463
22,1547.19,0.96052,0.50386,0.93693,0.97669,0.95853,0.97742,0.49522,1.74904,0.55945,1.19454,0.000896127,0.000896127,0.000896127
23,1617.6,0.94723,0.48834,0.93108,0.97298,0.95176,0.97509,0.5049,1.61357,0.55451,1.15288,0.000886404,0.000886404,0.000886404
24,1688.04,0.9494,0.48603,0.92872,0.97537,0.96379,0.981,0.53933,1.55917,0.52301,1.13274,0.000876305,0.000876305,0.000876305
25,1758.42,0.94919,0.48774,0.92951,0.96594,0.93823,0.96833,0.49934,1.57648,0.54666,1.15037,0.000865839,0.000865839,0.000865839
26,1828.68,0.92759,0.47241,0.92855,0.96602,0.95207,0.97205,0.46977,1.73143,0.55556,1.20815,0.000855018,0.000855018,0.000855018
27,1899.4,0.92013,0.47157,0.92347,0.97568,0.96068,0.9782,0.51124,1.67247,0.55805,1.17595,0.000843851,0.000843851,0.000843851
28,1969.91,0.90664,0.46409,0.92061,0.95431,0.93863,0.95861,0.39911,2.05454,0.63408,1.34817,0.000832349,0.000832349,0.000832349
29,2040.45,0.91018,0.46041,0.92023,0.9514,0.92852,0.94221,0.35623,2.19956,0.67589,1.433,0.000820525,0.000820525,0.000820525
30,2111.23,0.90937,0.45385,0.91963,0.98313,0.95711,0.9823,0.58047,1.44604,0.48133,1.08656,0.000808389,0.000808389,0.000808389
31,2181.8,0.8984,0.45165,0.9166,0.96919,0.95545,0.97806,0.51866,1.59907,0.54384,1.12833,0.000795954,0.000795954,0.000795954
32,2252.45,0.89273,0.44961,0.91585,0.96658,0.95179,0.96677,0.44874,1.89831,0.58296,1.27506,0.000783231,0.000783231,0.000783231
33,2323.25,0.88815,0.44791,0.91768,0.97523,0.96884,0.98415,0.58658,1.42099,0.47972,1.07504,0.000770234,0.000770234,0.000770234
34,2393.89,0.87705,0.4433,0.91299,0.96378,0.95308,0.96775,0.44322,1.86202,0.59198,1.25589,0.000756976,0.000756976,0.000756976
35,2464.24,0.88156,0.43971,0.91333,0.9864,0.95624,0.98454,0.62739,1.24839,0.43499,1.0261,0.000743468,0.000743468,0.000743468
